ID,WR_L4,WR_MOST_L4,RD_L4,Sum_Effi,D64_W33,D64_W50,D64_W66,D128_W33,D128_W50,D128_W66,D256_W33,D256_W50,D256_W66
1,42,44,19,614.61,44.36,45.43,45.51,77.95,74.53,71.85,88.42,84.53,82.03
2,42,44,21,617.86,45.16,46.44,45.8,78.58,75.44,72.58,87.65,84.05,82.16
3,42,44,23,620.4,45.89,47.15,46.22,78.93,76.09,72.88,87.08,83.74,82.42
4,42,44,25,626.9,48.5,47.8,46.63,80.39,76.31,73.77,86.69,84.08,82.73
5,42,44,27,625.4,48.31,48.15,46.87,80.36,76.08,73.48,85.84,83.53,82.78
6,42,44,29,628.53,49.24,48.37,47.15,80.25,76.4,74.04,86.17,83.39,83.52
7,42,44,31,580.09,0.0,48.57,47.55,80.9,76.27,73.86,86.71,83.5,82.73
8,42,44,33,632.04,50.46,48.95,47.61,81.13,76.23,74.14,86.37,83.58,83.57
9,42,48,19,622.69,44.27,46.62,46.35,78.75,76.27,73.05,88.87,85.61,82.9
10,42,48,21,628.07,45.92,47.08,46.57,80.21,76.08,73.87,89.42,85.8,83.12
11,42,48,23,630.23,47.64,47.81,46.95,80.44,77.03,74.27,87.76,85.66,82.67
12,42,48,25,631.89,48.39,48.28,47.26,80.96,77.12,74.42,87.57,84.7,83.19
13,42,48,27,631.9,49.52,48.63,47.36,79.49,77.04,74.24,87.25,84.65,83.72
14,42,48,29,635.14,50.31,49.34,47.83,81.33,77.57,74.5,87.61,83.95,82.7
15,42,48,31,638.37,50.68,49.44,48.06,80.78,77.73,74.66,87.77,85.43,83.82
16,42,48,33,638.31,50.83,49.55,48.01,81.1,77.38,74.91,87.63,84.99,83.91
17,42,52,19,543.2,45.33,47.44,47.14,78.61,77.02,74.35,89.72,0.0,83.59
18,42,52,21,549.33,47.27,47.52,47.15,79.05,77.79,74.9,89.17,86.48,0.0
19,42,52,23,635.98,47.91,48.73,47.58,80.94,78.35,74.92,87.95,85.99,83.61
20,42,52,25,557.11,49.5,48.9,48.12,0.0,78.37,75.54,87.29,85.84,83.55
21,42,52,27,640.08,49.46,49.32,48.44,81.24,78.53,75.51,88.18,85.88,83.52
22,42,52,29,643.6,51.63,50.23,48.59,81.49,78.39,75.48,88.27,85.77,83.75
23,42,52,31,643.26,51.05,50.09,48.74,81.78,78.07,75.18,88.84,85.14,84.37
24,42,52,33,554.74,51.77,50.12,48.56,81.69,77.85,75.49,0.0,85.65,83.61
25,42,56,19,634.72,46.32,47.81,47.44,78.73,77.85,75.75,89.61,86.85,84.36
26,42,56,21,505.52,0.0,48.74,48.24,80.26,78.49,75.9,89.62,0.0,84.27
27,42,56,23,640.86,49.23,49.04,48.77,80.42,79.04,76.31,87.94,86.5,83.61
28,42,56,25,641.66,49.22,49.57,48.21,81.29,78.56,76.17,88.44,86.25,83.95
29,42,56,27,595.6,50.37,50.04,0.0,81.26,79.35,76.34,88.61,85.38,84.25
30,42,56,29,645.3,51.45,50.22,49.56,81.57,79.34,76.21,87.48,85.62,83.85
31,42,56,31,648.89,51.36,50.83,48.93,81.49,79.1,76.66,89.73,86.21,84.58
32,42,56,33,648.08,51.24,50.3,49.17,81.26,78.95,76.33,89.72,87.0,84.11
33,42,60,19,641.49,47.96,48.31,48.61,79.49,78.1,75.8,90.07,88.06,85.09
34,42,60,21,644.3,48.93,49.16,48.7,80.63,78.64,76.39,88.98,87.43,85.44
35,42,60,23,646.72,49.47,50.11,49.06,80.98,78.74,76.6,89.66,87.09,85.01
36,42,60,25,646.64,49.94,50.05,49.44,81.74,79.57,77.05,87.93,87.04,83.88
37,42,60,27,649.18,49.61,50.16,49.79,81.57,79.56,76.64,90.47,86.53,84.85
38,42,60,29,648.56,49.97,49.94,49.64,81.31,79.25,76.78,89.83,87.22,84.62
39,42,60,31,650.5,50.99,50.14,49.76,81.68,79.13,76.79,89.95,87.09,84.97
40,42,60,33,650.44,50.6,50.04,49.45,80.47,79.12,76.96,90.5,87.94,85.36
41,42,64,19,644.1,48.01,48.91,49.18,79.33,78.2,76.85,89.87,88.03,85.72
42,42,64,21,647.14,49.13,49.68,49.82,79.53,78.9,76.96,89.02,88.04,86.06
43,42,64,23,650.83,49.81,50.28,49.5,81.81,79.59,77.81,89.23,87.45,85.35
44,42,64,25,651.17,50.58,50.19,50.14,80.8,79.61,77.52,88.43,88.23,85.67
45,42,64,27,651.91,50.49,50.52,49.44,81.76,79.92,77.88,89.4,87.08,85.42
46,42,64,29,651.57,50.37,50.28,49.74,81.0,79.64,77.32,89.64,87.87,85.71
47,42,64,31,651.67,50.49,49.99,49.92,81.11,79.47,77.56,90.04,87.41,85.68
48,42,64,33,649.83,50.99,50.09,49.76,79.76,79.0,77.25,89.9,87.23,85.85
49,44,44,19,615.08,44.36,45.9,45.51,77.95,74.53,71.85,88.42,84.53,82.03
50,44,44,21,617.21,45.16,46.31,45.8,78.58,74.92,72.58,87.65,84.05,82.16
51,44,44,23,620.34,45.89,46.95,46.22,78.93,76.23,72.88,87.08,83.74,82.42
52,44,44,25,626.4,48.5,47.75,46.63,80.39,75.86,73.77,86.69,84.08,82.73
53,44,44,27,578.74,48.31,47.96,0.0,80.36,76.48,73.48,85.84,83.53,82.78
54,44,44,29,629.51,49.24,48.63,47.15,80.25,76.64,74.04,86.17,83.87,83.52
55,44,44,31,630.0,50.29,48.61,47.55,80.9,76.2,73.86,86.71,83.15,82.73
56,44,44,33,632.29,50.46,48.98,47.61,81.13,75.98,74.14,86.37,84.05,83.57
57,44,48,19,622.23,44.27,46.16,46.35,78.75,76.27,73.05,88.87,85.61,82.9
58,44,48,21,628.81,45.92,47.38,46.57,80.21,76.52,73.87,89.42,85.8,83.12
59,44,48,23,629.77,47.64,47.31,46.95,80.44,77.07,74.27,87.76,85.66,82.67
60,44,48,25,632.26,48.39,48.67,47.26,80.96,77.1,74.42,87.57,84.7,83.19
61,44,48,27,632.82,49.52,49.01,47.36,79.49,77.58,74.24,87.25,84.65,83.72
62,44,48,29,635.59,49.41,49.68,47.83,81.33,77.42,74.5,87.61,85.11,82.7
63,44,48,31,637.88,50.68,49.48,48.06,80.78,77.61,74.66,87.77,85.02,83.82
64,44,48,33,638.16,50.83,49.78,48.01,81.1,77.44,74.91,87.63,84.55,83.91
65,44,52,19,551.86,45.33,46.72,47.14,78.61,0.0,74.35,89.72,86.4,83.59
66,44,52,21,633.35,47.27,48.3,47.15,79.05,77.53,74.9,89.17,86.48,83.5
67,44,52,23,635.05,47.91,48.57,47.58,80.94,77.58,74.92,87.95,85.99,83.61
68,44,52,25,638.19,49.5,49.3,48.12,81.0,78.05,75.54,87.29,85.84,83.55
69,44,52,27,561.7,49.46,49.47,48.44,81.24,0.0,75.51,88.18,85.88,83.52
70,44,52,29,643.35,51.63,49.77,48.59,81.49,78.7,75.48,88.27,85.67,83.75
71,44,52,31,643.48,51.05,49.97,48.74,81.78,78.33,75.18,88.84,85.22,84.37
72,44,52,33,644.2,51.77,49.84,48.56,81.69,77.84,75.49,89.44,85.96,83.61
73,44,56,19,634.52,46.32,47.61,47.44,78.73,77.85,75.75,89.61,86.85,84.36
74,44,56,21,559.72,48.09,48.72,48.24,0.0,78.25,75.9,89.62,86.63,84.27
75,44,56,23,640.6,49.23,48.91,48.77,80.42,78.91,76.31,87.94,86.5,83.61
76,44,56,25,641.66,49.22,49.32,48.21,81.29,78.81,76.17,88.44,86.25,83.95
77,44,56,27,509.34,50.37,0.0,48.8,81.26,78.58,76.34,88.61,85.38,0.0
78,44,56,29,646.14,51.45,50.59,49.56,81.57,79.44,76.21,87.48,85.99,83.85
79,44,56,31,647.97,51.36,50.3,48.93,81.49,78.9,76.66,89.73,86.02,84.58
80,44,56,33,646.61,51.24,50.17,49.17,81.26,78.59,76.33,89.72,86.02,84.11
81,44,60,19,553.04,47.96,47.92,48.61,79.49,78.1,75.8,90.07,0.0,85.09
82,44,60,21,644.33,48.93,48.99,48.7,80.63,78.84,76.39,88.98,87.43,85.44
83,44,60,23,470.12,49.47,49.85,49.06,80.98,79.15,76.6,0.0,0.0,85.01
84,44,60,25,647.17,49.94,50.15,49.44,81.74,80.0,77.05,87.93,87.04,83.88
85,44,60,27,648.46,49.61,49.84,49.79,81.57,79.16,76.64,90.47,86.53,84.85
86,44,60,29,648.0,49.97,50.18,49.64,81.31,79.55,76.78,89.83,86.12,84.62
87,44,60,31,651.3,50.99,51.2,49.76,81.68,79.38,76.79,89.95,86.58,84.97
88,44,60,33,650.33,50.6,50.61,49.45,80.47,78.76,76.96,90.5,87.62,85.36
89,44,64,19,644.14,48.01,48.95,49.18,79.33,78.2,76.85,89.87,88.03,85.72
90,44,64,21,598.59,0.0,49.63,49.82,79.53,79.53,76.96,89.02,88.04,86.06
91,44,64,23,649.67,49.81,49.41,49.5,81.81,79.3,77.81,89.23,87.45,85.35
92,44,64,25,651.13,50.58,50.02,50.14,80.8,79.74,77.52,88.43,88.23,85.67
93,44,64,27,651.69,50.49,50.76,49.44,81.76,79.46,77.88,89.4,87.08,85.42
94,44,64,29,601.6,50.37,0.0,49.74,81.0,79.93,77.32,89.64,87.89,85.71
95,44,64,31,652.23,50.49,50.52,49.92,81.11,79.31,77.56,90.04,87.6,85.68
96,44,64,33,570.73,50.99,49.99,49.76,0.0,78.76,77.25,89.9,88.23,85.85
97,44,68,19,645.12,48.08,49.01,48.87,78.36,78.85,77.72,89.07,88.76,86.4
98,44,68,21,568.56,47.63,49.62,49.37,80.63,0.0,77.56,89.13,88.4,86.22
99,44,68,23,650.11,49.43,48.9,49.67,81.07,79.44,78.32,89.49,88.2,85.59
100,44,68,25,653.49,50.12,50.18,50.19,80.65,80.21,78.2,89.76,88.8,85.38
101,44,68,27,650.76,50.58,50.29,49.48,80.88,79.82,77.99,89.04,86.91,85.77
102,44,68,29,654.55,50.01,50.43,50.0,81.01,80.09,78.57,90.39,88.04,86.01
103,44,68,31,572.99,49.54,50.4,49.71,79.34,79.66,0.0,90.21,88.17,85.96
104,44,68,33,648.83,49.77,50.28,49.91,78.29,79.33,78.1,89.22,88.28,85.65
105,46,48,19,622.32,44.27,46.25,46.35,78.75,76.27,73.05,88.87,85.61,82.9
106,46,48,21,628.38,45.92,47.01,46.57,80.21,76.46,73.87,89.42,85.8,83.12
107,46,48,23,630.85,47.64,48.14,46.95,80.44,77.32,74.27,87.76,85.66,82.67
108,46,48,25,548.56,48.39,48.22,47.26,80.96,77.04,74.42,87.57,84.7,0.0
109,46,48,27,632.39,49.52,48.61,47.36,79.49,77.55,74.24,87.25,84.65,83.72
110,46,48,29,634.45,50.31,49.29,47.83,81.33,77.28,74.5,87.61,83.6,82.7
111,46,48,31,637.98,50.68,49.38,48.06,80.78,77.58,74.66,87.77,85.25,83.82
112,46,48,33,641.11,50.83,50.04,48.09,81.31,77.42,75.48,87.91,85.1,84.93
113,46,52,19,628.61,45.33,46.45,47.14,78.61,77.02,74.35,89.72,86.4,83.59
114,46,52,21,633.36,47.27,48.08,47.15,79.05,77.76,74.9,89.17,86.48,83.5
115,46,52,23,548.9,47.91,47.95,47.58,80.94,78.04,74.92,87.95,0.0,83.61
116,46,52,25,638.55,49.5,49.18,48.12,81.0,78.53,75.54,87.29,85.84,83.55
117,46,52,27,640.2,49.46,49.48,48.44,81.24,78.49,75.51,88.18,85.88,83.52
118,46,52,29,642.57,51.63,49.41,48.59,81.49,78.12,75.48,88.27,85.83,83.75
119,46,52,31,592.77,0.0,49.93,48.74,81.78,78.0,75.18,88.84,85.93,84.37
120,46,52,33,644.61,51.77,50.27,48.74,81.21,77.97,75.46,88.21,85.35,85.63
121,46,56,19,556.73,46.32,48.55,47.44,0.0,77.85,75.75,89.61,86.85,84.36
122,46,56,21,639.2,48.09,48.24,48.24,80.26,77.95,75.9,89.62,86.63,84.27
123,46,56,23,640.72,49.23,49.13,48.77,80.42,78.81,76.31,87.94,86.5,83.61
124,46,56,25,641.48,49.22,49.32,48.21,81.29,78.63,76.17,88.44,86.25,83.95
125,46,56,27,643.98,50.37,50.37,48.8,81.26,78.6,76.34,88.61,85.38,84.25
126,46,56,29,645.77,51.45,50.65,49.56,81.57,78.89,76.21,87.48,86.11,83.85
127,46,56,31,647.11,51.36,50.19,48.93,81.49,78.72,76.66,89.73,85.45,84.58
128,46,56,33,599.37,0.0,50.69,49.55,81.7,79.19,76.12,89.98,86.59,85.55
129,46,60,19,565.48,47.96,48.1,48.61,79.49,78.1,0.0,90.07,88.06,85.09
130,46,60,21,558.75,48.93,49.38,48.7,80.63,78.31,76.39,88.98,87.43,0.0
131,46,60,23,597.94,49.47,49.77,0.0,80.98,79.36,76.6,89.66,87.09,85.01
132,46,60,25,646.09,49.94,49.42,49.44,81.74,79.65,77.05,87.93,87.04,83.88
133,46,60,27,648.45,49.61,49.79,49.79,81.57,79.2,76.64,90.47,86.53,84.85
134,46,60,29,647.38,49.97,49.92,49.64,81.31,79.36,76.78,89.83,85.95,84.62
135,46,60,31,650.37,50.99,50.36,49.76,81.68,78.92,76.79,89.95,86.95,84.97
136,46,60,33,651.94,50.6,50.24,49.55,80.72,79.52,77.07,90.5,87.49,86.25
137,46,64,19,644.04,48.01,48.85,49.18,79.33,78.2,76.85,89.87,88.03,85.72
138,46,64,21,646.66,49.13,49.37,49.82,79.53,78.73,76.96,89.02,88.04,86.06
139,46,64,23,571.05,49.81,50.09,49.5,81.81,0.0,77.81,89.23,87.45,85.35
140,46,64,25,600.71,50.58,0.0,50.14,80.8,79.34,77.52,88.43,88.23,85.67
141,46,64,27,651.62,50.49,50.0,49.44,81.76,80.15,77.88,89.4,87.08,85.42
142,46,64,29,652.06,50.37,50.59,49.74,81.0,79.85,77.32,89.64,87.84,85.71
143,46,64,31,652.42,50.49,50.37,49.92,81.11,79.09,77.56,90.04,88.16,85.68
144,46,64,33,520.74,50.99,50.13,0.0,79.65,0.0,77.25,89.42,87.53,85.77
145,46,68,19,645.04,48.08,48.93,48.87,78.36,78.85,77.72,89.07,88.76,86.4
146,46,68,21,559.41,47.63,49.31,49.37,80.63,79.56,77.56,89.13,0.0,86.22
147,46,68,23,651.39,49.43,49.81,49.67,81.07,79.81,78.32,89.49,88.2,85.59
148,46,68,25,653.36,50.12,50.12,50.19,80.65,80.14,78.2,89.76,88.8,85.38
149,46,68,27,651.09,50.58,50.33,49.48,80.88,80.11,77.99,89.04,86.91,85.77
150,46,68,29,654.99,50.01,50.45,50.0,81.01,79.94,78.57,90.39,88.61,86.01
151,46,68,31,650.39,49.54,50.26,49.71,79.34,79.64,78.29,90.21,87.44,85.96
152,46,68,33,649.27,49.71,50.37,49.9,78.47,79.6,77.73,89.16,88.5,85.83
153,48,48,19,463.33,44.27,46.43,46.35,78.75,0.0,73.05,88.87,85.61,0.0
154,48,48,21,628.93,45.92,47.56,46.57,80.21,76.46,73.87,89.42,85.8,83.12
155,48,48,23,629.26,47.64,47.09,46.95,80.44,76.78,74.27,87.76,85.66,82.67
156,48,48,25,632.09,48.39,48.3,47.26,80.96,77.3,74.42,87.57,84.7,83.19
157,48,48,27,554.92,49.52,48.69,47.36,79.49,0.0,74.24,87.25,84.65,83.72
158,48,48,29,636.13,50.31,49.14,47.83,81.33,77.73,74.5,87.61,84.98,82.7
159,48,48,31,471.82,50.43,49.05,47.85,0.0,77.37,74.89,87.45,84.78,0.0
160,48,48,33,643.76,51.65,49.49,48.39,81.44,77.19,76.05,87.29,85.03,87.23
161,48,52,19,628.83,45.33,46.67,47.14,78.61,77.02,74.35,89.72,86.4,83.59
162,48,52,21,632.39,47.27,47.11,47.15,79.05,77.76,74.9,89.17,86.48,83.5
163,48,52,23,634.84,47.91,48.3,47.58,80.94,77.64,74.92,87.95,85.99,83.61
164,48,52,25,551.15,49.5,49.31,48.12,81.0,78.29,75.54,0.0,85.84,83.55
165,48,52,27,640.27,49.46,49.88,48.44,81.24,78.16,75.51,88.18,85.88,83.52
166,48,52,29,557.25,51.63,49.66,48.59,81.49,78.38,75.48,88.27,0.0,83.75
167,48,52,31,645.26,51.05,50.39,48.48,81.54,78.14,75.87,88.74,85.47,85.58
168,48,52,33,647.35,50.55,50.42,48.59,81.94,78.16,76.14,88.22,85.97,87.36
169,48,56,19,545.46,46.32,48.16,47.44,78.73,77.85,75.75,0.0,86.85,84.36
170,48,56,21,638.96,48.09,48.0,48.24,80.26,77.95,75.9,89.62,86.63,84.27
171,48,56,23,561.53,49.23,48.75,48.77,80.42,0.0,76.31,87.94,86.5,83.61
172,48,56,25,642.46,49.22,50.01,48.21,81.29,78.92,76.17,88.44,86.25,83.95
173,48,56,27,643.81,50.37,49.95,48.8,81.26,78.85,76.34,88.61,85.38,84.25
174,48,56,29,645.87,51.45,50.46,49.56,81.57,79.02,76.21,87.48,86.27,83.85
175,48,56,31,648.5,51.36,49.96,49.47,81.64,79.28,76.2,89.19,85.9,85.5
176,48,56,33,650.6,51.66,50.45,49.21,81.99,79.24,76.99,89.14,85.23,86.69
177,48,60,19,563.41,47.96,48.33,48.61,79.49,0.0,75.8,90.07,88.06,85.09
178,48,60,21,643.93,48.93,49.12,48.7,80.63,78.31,76.39,88.98,87.43,85.44
179,48,60,23,645.89,49.47,50.08,49.06,79.6,79.32,76.6,89.66,87.09,85.01
180,48,60,25,645.94,49.94,50.03,49.44,81.74,78.89,77.05,87.93,87.04,83.88
181,48,60,27,567.65,49.61,50.26,49.79,0.0,79.5,76.64,90.47,86.53,84.85
182,48,60,29,647.9,49.97,50.44,49.64,81.31,79.3,76.78,89.83,86.01,84.62
183,48,60,31,652.09,50.99,50.86,49.93,81.61,79.56,77.15,88.97,87.32,85.7
184,48,60,33,652.59,50.92,50.38,49.76,81.3,79.0,77.26,89.79,87.52,86.66
185,48,64,19,643.74,48.01,48.55,49.18,79.33,78.2,76.85,89.87,88.03,85.72
186,48,64,21,646.58,49.13,49.29,49.82,79.53,78.73,76.96,89.02,88.04,86.06
187,48,64,23,570.92,49.81,49.96,49.5,81.81,0.0,77.81,89.23,87.45,85.35
188,48,64,25,651.36,50.58,50.0,50.14,80.8,79.99,77.52,88.43,88.23,85.67
189,48,64,27,651.28,50.49,50.46,49.44,81.76,79.35,77.88,89.4,87.08,85.42
190,48,64,29,651.87,50.37,50.15,49.74,81.0,79.73,77.32,89.64,88.21,85.71
191,48,64,31,602.72,0.0,50.2,49.71,80.34,79.4,77.61,90.55,87.89,87.02
192,48,64,33,652.12,50.15,50.02,49.99,80.38,79.81,77.37,89.77,87.99,86.64
193,48,68,19,645.44,48.08,49.33,48.87,78.36,78.85,77.72,89.07,88.76,86.4
194,48,68,21,567.71,47.63,48.77,49.37,80.63,0.0,77.56,89.13,88.4,86.22
195,48,68,23,651.06,49.43,49.6,49.67,81.07,79.69,78.32,89.49,88.2,85.59
196,48,68,25,483.22,50.12,49.82,50.19,0.0,79.75,78.2,89.76,0.0,85.38
197,48,68,27,650.82,50.58,49.95,49.48,80.88,80.22,77.99,89.04,86.91,85.77
198,48,68,29,654.04,50.01,50.27,50.0,81.01,79.86,78.57,90.39,87.92,86.01
199,48,68,31,651.86,49.99,49.8,49.85,79.37,79.4,78.1,90.75,87.96,86.64
200,48,68,33,650.69,49.49,50.64,49.66,78.62,79.42,78.13,90.1,88.49,86.14
201,50,52,19,629.24,45.33,47.08,47.14,78.61,77.02,74.35,89.72,86.4,83.59
202,50,52,21,632.39,47.27,47.62,47.15,79.05,77.42,74.9,89.0,86.48,83.5
203,50,52,23,635.35,47.91,48.34,47.58,80.94,78.11,74.92,87.95,85.99,83.61
204,50,52,25,638.07,49.5,49.02,48.12,81.0,78.21,75.54,87.29,85.84,83.55
205,50,52,27,564.26,49.46,48.96,48.44,81.24,78.58,0.0,88.18,85.88,83.52
206,50,52,29,644.73,51.63,49.57,48.45,81.03,78.98,76.08,88.4,85.85,84.74
207,50,52,31,568.95,50.81,49.83,48.69,81.62,0.0,76.07,88.38,86.08,87.47
208,50,52,33,647.29,50.81,49.83,48.69,81.62,78.34,76.07,88.38,86.08,87.47
209,50,56,19,635.37,46.32,48.46,47.44,78.73,77.85,75.75,89.61,86.85,84.36
210,50,56,21,639.12,48.09,47.81,48.24,80.26,78.3,75.9,89.62,86.63,84.27
211,50,56,23,640.12,49.23,49.0,48.77,80.42,78.34,76.31,87.94,86.5,83.61
212,50,56,25,642.37,49.22,49.92,48.21,81.29,78.92,76.17,88.44,86.25,83.95
